"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"3975","11/08/2021",6,0.36,0,6,18,24,9
"1574","11/03/2021",17,0.01,1,1,11,12,66
"2591","30/04/2021",7,0.6,1,12,27,39,8
"3491","08/06/2021",17,0.31,2,0,8,9,69
"4982","26/09/2021",20,0.4,1,1,14,15,36
"868","08/02/2021",14,0.09,1,1,4,5,42
"1309","28/02/2021",7,1.42,4,37,42,79,1
"3013","19/05/2021",2,0.05,1,0,5,5,45
"2331","15/04/2021",17,0.27,2,1,14,15,70
"1410","04/03/2021",16,0.13,3,1,13,14,70
"4848","20/09/2021",23,0.39,3,2,31,33,16
"3730","18/06/2021",19,0.15,1,5,5,10,15
"1116","20/02/2021",1,0.47,28,13,42,55,3
"4361","30/08/2021",19,0.9,1,10,31,41,6
"4340","29/08/2021",19,0.92,1,11,28,40,3
"3233","28/05/2021",13,0.21,2,1,14,14,98
"1259","26/02/2021",4,0.46,2,12,30,42,10
"2131","06/04/2021",23,0.09,2,1,12,12,28
"1176","22/02/2021",14,0.14,36,2,17,18,60
"5121","02/10/2021",20,0.37,1,1,16,18,28
"3998","12/08/2021",8,0.51,2,19,26,45,2
"201","09/01/2021",23,0.24,1,1,10,11,18
"2493","25/04/2021",9,0.52,2,8,25,34,19
"2662","03/05/2021",10,0.19,1,2,7,9,39
"1531","09/03/2021",21,0.29,1,4,25,29,14
"3256","29/05/2021",12,0.37,3,2,19,20,80
"1669","15/03/2021",20,0.28,1,3,19,22,32
"421","19/01/2021",14,0.49,2,2,21,23,62
"3736","01/08/2021",1,0.57,0,3,24,27,11
"2846","11/05/2021",21,0.23,1,0,15,15,33
"2929","15/05/2021",11,0.35,3,7,22,29,36
"416","19/01/2021",9,3.24,4,185,45,230,1
"822","06/02/2021",13,0.13,2,1,7,8,56
"4573","08/09/2021",21,0.61,0,4,23,27,17
"403","18/01/2021",20,0.73,1,4,23,28,17
"4050","14/08/2021",12,0.17,1,3,11,14,43
"4149","21/08/2021",17,0.24,1,4,6,10,32
"910","10/02/2021",8,1.09,2,35,33,67,5
"4208","24/08/2021",7,0.52,0,15,23,38,3
"3890","07/08/2021",17,0.23,1,0,8,9,73
"601","27/01/2021",22,0.31,1,2,16,18,18
"164","08/01/2021",10,1.68,6,86,57,143,6
"3526","10/06/2021",4,0.19,1,2,25,27,10
"3717","18/06/2021",6,0.14,1,1,16,17,16
"863","08/02/2021",9,2.22,3,119,50,169,4
"2089","05/04/2021",4,0.17,1,1,22,23,12
"1666","15/03/2021",17,0.01,3,0,8,8,36
"2880","13/05/2021",7,0.48,1,11,28,39,4
"155","07/01/2021",21,0.44,1,2,21,23,25
"2602","30/04/2021",18,0.43,1,2,24,26,44
"1923","26/03/2021",20,0.39,1,3,21,24,31
"857","08/02/2021",3,0.18,1,0,8,8,25
"3316","31/05/2021",24,0.1,1,1,17,17,17
"2858","12/05/2021",9,1.3,3,43,55,98,12
"2573","29/04/2021",12,0.49,3,3,28,31,70
"4965","26/09/2021",2,0.19,1,1,21,22,12
"3507","09/06/2021",9,1.07,4,32,42,74,12
"3957","10/08/2021",12,0.32,1,4,19,24,56
"1917","26/03/2021",14,0.04,3,1,12,13,59
"156","07/01/2021",22,0.58,2,6,35,41,14
"549","25/01/2021",1,0.13,1,0,8,8,27
"4169","22/08/2021",13,0.28,1,1,9,11,54
"1801","21/03/2021",12,0.15,3,1,10,11,46
"4481","04/09/2021",21,0.73,1,11,32,43,8
"2883","13/05/2021",10,0.26,1,6,14,20,26
"541","24/01/2021",17,0.4,1,1,9,10,37
"3275","30/05/2021",7,0.48,1,11,28,38,11
"4179","22/08/2021",23,0.41,0,5,19,23,9
"127","06/01/2021",17,0.13,1,0,8,9,40
"3121","23/05/2021",17,0.1,4,0,7,8,67
"1857","23/03/2021",21,0.29,1,1,13,14,25
"2366","19/04/2021",19,0.24,1,2,13,15,38
"2103","05/04/2021",19,0.31,4,4,20,24,26
"923","10/02/2021",21,0.54,2,2,28,30,24
"1763","19/03/2021",19,0.39,3,1,17,18,37
"4825","19/09/2021",24,0.17,1,1,17,18,12
"4980","26/09/2021",18,0.51,2,1,15,15,52
"3380","03/06/2021",23,0.54,1,2,30,32,15
"4596","09/09/2021",21,0.41,0,3,18,21,19
"3871","06/08/2021",22,0.57,1,11,30,41,1
"2559","28/04/2021",22,0.44,1,5,32,37,15
"3292","30/05/2021",24,0.3,1,2,22,23,16
"4666","12/09/2021",22,0.24,0,3,15,18,11
"4811","19/09/2021",10,0.2,1,4,10,14,30
"1569","11/03/2021",11,0.37,2,6,25,32,35
"3745","01/08/2021",10,0.71,3,14,29,42,28
"2415","21/04/2021",24,0.13,1,1,19,20,15
"624","28/01/2021",22,0.35,3,5,30,35,8
"4682","13/09/2021",19,0.24,1,2,5,7,14
"2289","13/04/2021",20,0.32,1,1,23,25,26
"2450","23/04/2021",11,0.69,3,5,37,42,46
"4574","08/09/2021",22,0.5,1,5,20,25,18
"722","02/02/2021",3,0.36,1,1,17,18,12
"1991","29/03/2021",22,0.24,1,1,17,18,19
"2824","10/05/2021",23,0.23,1,0,15,16,32
"100","05/01/2021",14,0.18,3,2,13,15,50
"2850","12/05/2021",1,0.15,1,0,17,17,26
"3656","15/06/2021",17,0.21,1,3,11,14,23
"1111","19/02/2021",20,0.34,2,4,36,40,15
"1013","14/02/2021",22,0.26,1,1,9,9,27
"1739","18/03/2021",19,0.7,1,3,31,35,25
"4851","21/09/2021",2,0.37,7,4,40,43,3
"4928","24/09/2021",13,0.22,2,2,12,14,60
"1779","20/03/2021",11,0.76,43,15,39,54,28
"1635","14/03/2021",6,0.85,3,13,39,53,2
"4307","28/08/2021",10,0.23,0,4,4,8,17
"3620","14/06/2021",5,0.22,1,6,17,23,2
"5035","29/09/2021",6,1.16,2,59,25,84,1
"5167","04/10/2021",19,0.44,1,5,22,28,15
"2727","06/05/2021",3,0.17,1,1,17,18,19
"2615","01/05/2021",7,1.37,2,76,32,107,1
"3865","06/08/2021",16,0.17,1,1,6,8,50
"687","31/01/2021",13,0.22,4,3,14,16,51
"4887","22/09/2021",17,0.08,1,3,7,10,30
"119","06/01/2021",9,2.1,3,110,46,156,2
"4296","27/08/2021",23,0.16,1,1,4,5,18
"39","03/01/2021",1,0.12,1,0,10,10,27
"286","13/01/2021",12,0.51,2,6,23,30,35
"1747","19/03/2021",3,0.27,2,2,28,30,11
"3784","03/08/2021",3,0.09,0,1,10,11,17
"3424","05/06/2021",19,0.67,2,2,28,29,38
"3982","11/08/2021",13,0.46,1,3,23,26,76
"4521","06/09/2021",16,0.39,1,1,15,16,76
"172","08/01/2021",18,0.36,2,1,15,17,37
"337","16/01/2021",2,0.53,2,10,37,47,2
"3224","28/05/2021",3,0.14,1,1,23,24,22
"3076","21/05/2021",20,0.18,1,1,15,15,37
"4673","13/09/2021",5,0.15,0,4,15,18,9
"951","12/02/2021",4,0.19,1,3,12,15,9
"4116","17/08/2021",6,0.25,1,7,20,27,4
"3873","06/08/2021",24,0.41,0,4,22,26,8
"2436","22/04/2021",21,0.29,2,0,13,14,34
"4007","12/08/2021",17,0.27,1,1,12,13,66
"3120","23/05/2021",16,0.09,2,0,7,7,66
"3843","05/08/2021",15,0.09,1,0,4,4,49
"2585","30/04/2021",1,0.14,1,1,16,17,25
"3649","15/06/2021",10,0.34,1,11,14,25,18
"2149","07/04/2021",18,0.12,1,1,12,13,45
"5108","02/10/2021",7,1.55,1,57,30,87,2
"542","24/01/2021",18,0.21,1,1,9,10,33
"1914","26/03/2021",11,0.23,2,4,22,26,39
"4523","06/09/2021",18,0.37,1,2,22,24,35
"4158","22/08/2021",2,1.21,1,37,28,65,2
"3496","08/06/2021",22,0.82,1,2,39,42,17
"4528","06/09/2021",23,0.24,1,1,14,15,26
"1482","07/03/2021",16,0.07,2,1,11,12,48
"4683","13/09/2021",20,0.25,1,2,6,8,13
"4176","22/08/2021",20,0.59,1,4,22,26,12
"4064","15/08/2021",2,0.24,0,2,13,15,23
"2538","27/04/2021",11,0.6,2,5,32,37,52
"4968","26/09/2021",5,0.16,1,1,16,18,12
"406","18/01/2021",23,0.35,1,1,18,19,22
"2333","15/04/2021",19,0.49,1,2,29,31,41
"3050","20/05/2021",18,0.22,1,1,14,15,61
"438","20/01/2021",10,0.68,49,25,29,54,10
"4104","16/08/2021",18,0.11,1,1,12,13,38
"1177","22/02/2021",15,0.14,27,1,14,15,64
"98","05/01/2021",12,1.29,8,28,72,99,29
"5215","06/10/2021",22,0.63,1,5,29,34,11
"1737","18/03/2021",17,0.24,2,0,13,13,48
"2273","13/04/2021",4,0.26,1,2,25,27,18
"4900","23/09/2021",9,0.45,1,19,18,37,11
"3959","10/08/2021",14,0.14,1,1,11,11,77
"389","18/01/2021",6,0.94,1,42,17,58,0
"227","11/01/2021",1,0.13,1,0,9,9,15
"743","02/02/2021",24,1.15,2,58,37,95,3
"3631","14/06/2021",16,0.43,1,10,20,30,7
"1383","03/03/2021",13,0.13,6,2,14,16,56
"5066","30/09/2021",13,0.79,2,4,30,34,83
"2256","12/04/2021",11,0.47,2,5,29,34,42
"2854","12/05/2021",5,0.25,1,1,17,18,20
"2772","08/05/2021",19,0.21,2,0,13,14,46
"1745","19/03/2021",1,0.39,2,3,34,37,10
"3371","03/06/2021",14,0.3,2,2,9,11,41
"1150","21/02/2021",11,1.04,5,15,51,66,33
"2595","30/04/2021",11,0.3,2,3,14,17,45
"1707","17/03/2021",11,0.41,9,6,22,28,32
"2674","03/05/2021",22,0.19,1,1,9,10,28
"881","09/02/2021",3,0.65,1,3,30,33,9
"4604","10/09/2021",5,0.28,0,2,15,17,19
"3932","09/08/2021",11,0.57,1,12,29,41,32
"3364","03/06/2021",3,0.17,1,0,16,16,17
"3529","10/06/2021",7,0.51,1,16,28,44,5
"4824","19/09/2021",23,0.21,0,2,19,21,11
"3728","18/06/2021",17,0.09,1,4,4,7,17
"4057","14/08/2021",19,0.86,1,13,35,48,8
"4044","14/08/2021",6,0.87,1,27,34,60,1
"3569","11/06/2021",23,0.25,1,4,18,21,11
"1372","02/03/2021",22,0.7,2,1,22,22,33
"3108","23/05/2021",4,0.09,1,0,13,13,28
"1522","09/03/2021",12,0.5,7,9,35,43,41
"3119","23/05/2021",15,0.14,3,1,8,9,71
"4397","01/09/2021",8,0.92,1,29,21,50,5
"1232","24/02/2021",22,0.45,1,11,34,45,4
"3045","20/05/2021",13,0.18,2,1,16,17,86
"5164","04/10/2021",16,0.25,1,3,12,15,44
"1881","25/03/2021",1,0.37,1,2,21,23,14
"4052","14/08/2021",14,0.07,1,1,6,7,46
"1823","22/03/2021",10,0.44,2,7,22,29,28
"4749","16/09/2021",16,0.13,1,1,9,10,46
"560","26/01/2021",5,0.46,1,9,26,35,4
"226","10/01/2021",24,0.25,1,0,11,12,15
"4161","22/08/2021",5,0.72,1,18,25,43,2
"5147","03/10/2021",22,0.58,1,8,22,30,4
"1455","06/03/2021",13,0.22,3,2,15,17,52
"2849","11/05/2021",24,0.25,1,0,22,22,24
"740","02/02/2021",21,0.56,2,10,36,46,7
"3330","01/06/2021",17,0.31,2,0,11,11,65
"3814","04/08/2021",9,1.05,1,46,28,75,5
"5029","28/09/2021",21,0.4,1,1,16,17,21
"4539","07/09/2021",10,0.68,1,18,26,44,21
"3225","28/05/2021",4,0.19,1,1,28,29,11
"3564","11/06/2021",18,0.27,2,3,14,17,27
"236","11/01/2021",10,0.94,7,32,34,66,7
"163","08/01/2021",9,2.59,5,191,44,235,1
"1159","21/02/2021",21,0.32,3,1,18,19,37
"2382","20/04/2021",15,0.14,1,1,9,10,50
"4336","29/08/2021",15,0.61,0,6,9,15,20
"2957","16/05/2021",18,0.42,2,2,20,22,43
"3125","23/05/2021",21,0.33,1,0,19,19,48
"3628","14/06/2021",13,0.16,1,2,6,8,29
"2659","03/05/2021",7,0.67,1,22,27,49,9
"4068","15/08/2021",6,0.19,1,2,14,16,10
"933","11/02/2021",7,1.21,2,58,30,88,3
"4195","23/08/2021",15,0.25,1,1,8,9,53
"4730","15/09/2021",19,0.44,1,2,14,16,21
"2218","10/04/2021",21,0.63,2,2,31,33,28
"1233","24/02/2021",23,0.5,1,16,37,52,3
"1979","29/03/2021",10,0.41,2,14,23,37,19
"4612","10/09/2021",13,0.24,1,2,6,8,61
"427","19/01/2021",20,0.45,1,1,17,18,25
"1147","21/02/2021",8,1.84,9,94,39,133,1
"5188","05/10/2021",19,0.41,1,5,19,24,11
"2096","05/04/2021",11,0.76,15,13,39,51,30
"3577","12/06/2021",7,0.31,1,5,20,25,7
"4830","20/09/2021",5,0.33,1,11,24,35,2
"4987","27/09/2021",1,0.17,1,0,7,7,20
"966","12/02/2021",19,0.37,1,7,10,17,15
"4377","31/08/2021",11,0.27,1,3,4,7,26
"25","02/01/2021",10,1.58,2,61,55,117,10
"4588","09/09/2021",13,0.26,1,2,7,9,59
"167","08/01/2021",13,0.4,5,3,20,23,50
"4950","25/09/2021",11,0.5,6,17,28,46,25
"3601","13/06/2021",10,0.53,3,8,19,27,14
"2384","20/04/2021",17,0.34,2,2,13,15,52
"4535","07/09/2021",6,0.32,1,9,30,39,3
"653","30/01/2021",3,0.03,2,0,5,5,29
"3686","16/06/2021",23,0.15,1,1,11,11,28
"1813","21/03/2021",24,0.14,2,1,10,11,35
"1029","15/02/2021",15,0.26,1,0,6,6,50
"5034","29/09/2021",5,0.99,1,15,25,40,3
"4240","25/08/2021",15,0.21,1,2,6,9,40
"713","01/02/2021",18,0.31,2,2,17,18,42
"1316","28/02/2021",14,0.39,9,0,17,18,84
"3303","31/05/2021",11,0.48,2,8,29,36,42
"2910","14/05/2021",16,0.09,1,1,11,12,55
"1124","20/02/2021",9,1.93,32,142,49,191,2
"4447","03/09/2021",11,0.39,1,9,18,27,26
"439","20/01/2021",11,0.75,41,24,36,60,15
"581","27/01/2021",2,0.9,1,7,44,51,5
"4406","01/09/2021",17,0.97,1,8,28,36,33
"181","09/01/2021",3,0.47,2,1,28,30,16
"2945","16/05/2021",5,0.07,1,0,15,16,25
"4551","07/09/2021",23,0.61,1,6,34,41,5
"5039","29/09/2021",10,0.81,3,14,31,46,32
"267","12/01/2021",17,0.22,0,2,8,9,32
"3399","04/06/2021",18,0.57,1,3,26,29,25
"2623","01/05/2021",15,0.18,1,1,9,10,49
"1244","25/02/2021",13,0.52,5,5,29,34,54
"3038","20/05/2021",6,0.96,2,46,38,84,1
"2561","28/04/2021",24,0.1,1,2,16,18,26
"4458","03/09/2021",22,0.44,0,3,23,27,23
"4305","28/08/2021",8,0.25,0,4,6,10,12
"1161","21/02/2021",23,0.15,2,1,14,15,38
"1143","21/02/2021",4,0.42,10,18,37,54,2
"2186","09/04/2021",11,0.72,3,8,37,45,44
"408","19/01/2021",1,0.27,1,1,15,16,22
"3200","27/05/2021",3,0,1,1,17,18,14
"3327","01/06/2021",14,0.31,7,1,13,13,92
"2897","13/05/2021",24,0.09,1,1,12,13,18
"203","10/01/2021",1,0.11,1,0,6,6,20
"4315","28/08/2021",18,0.21,1,3,4,7,20
"3676","16/06/2021",13,0.16,1,1,10,12,60
"3770","02/08/2021",11,0.91,3,16,46,63,40
"660","30/01/2021",10,1.1,7,54,44,98,10
"1199","23/02/2021",13,0.4,9,4,28,32,55
"4691","14/09/2021",4,0.06,0,0,3,3,13
"4532","07/09/2021",3,0.1,0,1,17,19,17
"3159","25/05/2021",7,1.04,2,58,33,90,1
"1904","26/03/2021",1,0.33,1,5,27,32,17
"3887","07/08/2021",14,0.27,2,1,12,13,94
"2261","12/04/2021",16,0.21,3,0,8,8,42
"1510","08/03/2021",20,0.36,1,5,27,32,13
"3748","01/08/2021",13,0.32,2,2,16,18,72
"650","29/01/2021",24,0.39,5,4,24,28,21
"4841","20/09/2021",16,0.04,1,1,6,7,47
"240","11/01/2021",14,0.16,1,2,5,6,24
"3124","23/05/2021",20,0.2,1,0,14,14,35
"3767","02/08/2021",8,1.04,2,41,32,73,8
"4658","12/09/2021",14,0.19,1,2,9,12,45
"3436","06/06/2021",7,0.91,2,12,32,44,7
"502","23/01/2021",2,0.12,2,0,7,7,37
"2650","02/05/2021",22,0.44,1,12,21,33,15
"932","11/02/2021",6,0.57,1,20,22,42,9
"1328","01/03/2021",2,0.83,2,7,49,56,6
"709","01/02/2021",14,0.22,1,3,10,13,38
"4517","06/09/2021",12,0.23,1,4,12,16,47
"2611","01/05/2021",3,0.59,1,12,41,53,1
"2200","10/04/2021",2,0.1,1,1,9,10,27
"2636","02/05/2021",8,0.68,1,9,26,35,12
"1831","22/03/2021",19,0.26,1,2,12,14,34
"2572","29/04/2021",11,0.72,2,7,38,45,51
"3310","31/05/2021",18,0.2,1,0,8,9,56
"4637","11/09/2021",17,0.16,1,2,10,12,35
"2285","13/04/2021",16,0.29,2,1,13,14,49
"47","03/01/2021",9,1.71,1,45,37,82,7
"4337","29/08/2021",16,0.77,1,6,16,22,15
"4705","14/09/2021",18,0.14,1,2,3,5,20
"4331","29/08/2021",10,0.27,0,5,5,10,22
"177","08/01/2021",23,0.61,2,2,32,34,14
"1064","17/02/2021",18,0.11,1,0,9,9,42
"4082","15/08/2021",20,0.49,1,2,19,21,21
"3810","04/08/2021",5,0.19,0,4,20,24,5
"1596","12/03/2021",15,0.14,3,0,12,12,71
"4853","21/09/2021",4,0.24,6,2,23,25,10
"3199","27/05/2021",2,0,1,0,13,14,19
"4709","14/09/2021",22,0.31,0,3,14,16,7
"5158","04/10/2021",10,0.26,1,7,10,17,21
"3101","22/05/2021",21,0.22,1,0,15,15,44
"4014","12/08/2021",24,0.31,1,1,18,18,29
"2554","28/04/2021",3,0.06,2,0,8,8,27
"1276","26/02/2021",22,0.28,2,1,19,20,36
"275","13/01/2021",1,0.19,0,0,12,13,18
"3075","21/05/2021",19,0.18,8,0,18,19,60
